index,value,average
0,11940.0,13615.684210526315
1,14108.0,14108.0
2,12455.0,13813.0
3,1317.0,1330.7894736842106
4,290.0,2025.3157894736842
5,0.0,0.0
index,value,average
0,12082.0,14111.157894736842
1,14057.0,14057.0
2,13620.0,13620.0
3,0,0.0
4,0,0.0
5,0,0.0
6,0,0.0
7,0,0.0
index,value,average
0,12082.0,14111.157894736842
1,14057.0,14057.0
2,13620.0,13620.0
3,12433.0,13511.052631578947
4,5455.0,7661.526315789473
5,1041.0,1041.0
6,1041.0,1041.0
7,1041.0,1041.0
