index,value,average
0,19536.0,29890.5
1,26001.0,26001.0
2,19299.0,25636.0
3,11040.0,15527.5
4,4407.0,8323.0
5,4077.0,4077.0
index,value,average
0,20187.0,25269.315789473683
1,18843.0,18843.0
2,17976.0,17976.0
3,17976.0,17976.0
4,20082.0,24276.315789473683
5,12255.0,16756.894736842107
6,8493.0,8493.0
7,8493.0,8493.0
8,8493.0,8493.0
index,value,average
0,20187.0,25269.315789473683
1,18843.0,18843.0
2,17976.0,17976.0
3,17976.0,17976.0
4,20082.0,24276.315789473683
5,12255.0,16756.894736842107
6,8493.0,8493.0
7,8493.0,8493.0
8,8493.0,8493.0
